_id,city,salary,experience,education,company,companyType,salary_type,salary_min,salary_max,province,is_outlier
14048d07f6236aea0f8b7b390d680e7blh,K445,130-160元/天,Eby,GP,company_107722,type_EguSJg,D,32500,40000,K,False
534153744af8afe2c702dac2f551bb52kB,K445,50-100元/天,Eby,GP,company_246114,type_fWnADK,D,12500,25000,K,False
14048d07f6236aea0f8b7b390d680e7blh,K115,290-300元/天,Eby,GP,company_348714,type_CbBLwi,D,72500,75000,K,False
14048d07f6236aea0f8b7b390d680e7blh,K115,180-200元/天,Eby,GP,company_564821,type_BLfSmG,D,45000,50000,K,False
769ab85fa91937cb72301dbee9a364f7NA,K115,250-300元/天,Eby,Gw,company_916992,type_ZnqLAd,D,62500,75000,K,False
14048d07f6236aea0f8b7b390d680e7blh,F047,100-110元/天,Eby,GP,company_637632,type_jIzdnZ,D,25000,27500,F,False
14048d07f6236aea0f8b7b390d680e7blh,F047,150-200元/天,Eby,GP,company_482992,type_SNJDAt,D,37500,50000,F,False
f259ba5ebbd84567d1a85ae6dabfebf7Yn,V932,140-150元/天,Eby,GP,company_046143,type_CbBLwi,D,35000,37500,V,False
65e915067ec7ca2082c1bfc73ffbc06bhv,V932,150-200元/天,Eby,GP,company_180386,type_aAuygy,D,37500,50000,V,False
c8e3d9e8578a2298d2f7e615aac41f0axF,V932,100-150元/天,Eby,GP,company_416002,type_plzlSo,D,25000,37500,V,False
f259ba5ebbd84567d1a85ae6dabfebf7Yn,V932,100-150元/天,Eby,GP,company_427874,type_qhLBWb,D,25000,37500,V,False
14048d07f6236aea0f8b7b390d680e7blh,V449,100-170元/天,Eby,GP,company_526499,type_CbBLwi,D,25000,42500,V,False
857e7beab1410cffb433927ac4bab84apK,P050,80-100元/天,Eby,GP,company_152956,type_qhLBWb,D,20000,25000,P,False
9f061698426c16445e46aee9114635c9ei,S528,120-240元/天,Eby,GP,company_825026,type_LPhcvI,D,30000,60000,S,False
3aa4f12a0d18e419f0d2a98cdf3b4209mD,S528,20-50元/时,EdD,GP,company_634307,type_BLfSmG,H,40000,100000,S,False
2495fdc29eba330bbd63e525674cc9d8vS,D346,150-200元/天,Eby,GP,company_860088,type_jIzdnZ,D,37500,50000,D,False
29707ef5d18063fe0136dcd9459a326bmL,M738,150-200元/天,Eby,GP,company_820143,type_lOdYUb,D,37500,50000,M,False
d51bb63c51c94dec44aea7e06c4258b9fp,M738,20-25元/时,EdD,GP,company_547028,type_DNepgK,H,40000,50000,M,False
c820c6793d4067678ebd6784c6f768d6ef,T526,20-25元/时,EdD,GP,company_278763,type_uTAWZv,H,40000,50000,T,False
b641c6b1b342ef150544480ab3af4f36aB,L961,100-120元/时,EdD,GP,company_193106,type_lOdYUb,H,200000,240000,L,False
7413011c61e2ef1b880eaf0071d05dd6Bj,L961,170-180元/天,Eby,GP,company_032858,type_CbBLwi,D,42500,45000,L,False
0cf5da7bb05dfb15718653637b8df718vT,N629,80-120元/天,Eby,GP,company_505190,type_HfjYoW,D,20000,30000,N,False
4567e91f242e95572016a7ce353f8c17NV,N629,90-100元/天,EKk,GI,company_139867,type_lOdYUb,D,22500,25000,N,False
4567e91f242e95572016a7ce353f8c17NV,I227,50-80元/天,EdD,Gx,company_116800,type_lOdYUb,D,12500,20000,I,False
c9a30a5443d04270fb0f49d437c3376bAy,C906,150-500元/天,EdD,GP,company_407613,type_BLfSmG,D,37500,125000,C,False
